Food,Calories,Protein,Carbs,Fat
apple_pie,300.0,33.3,41.7,8.33
hamburger,256.0,9.3,46.5,4.65
caesar_salad,190.0,4.0,8.0,16.0
cheesecake,381.0,5.31,39.8,23.0
chicken_curry,107.0,6.48,6.54,6.48
donuts,404.0,3.51,61.4,17.5
french_fries,179.0,2.38,22.6,8.33
fried_rice,183.0,3.33,31.7,5.0
grilled_salmon,103.0,18.1,0.86,3.45
hot_dog,211.0,19.3,1.75,14.0
ice_cream,200.0,3.08,24.6,10.8
omelette,56.0,1.6,11.2,0.8
pancakes,274.0,6.45,53.2,2.42
pizza,238.0,6.8,32.0,8.84
ramen,327.0,12.7,63.6,2.73
steak,556.0,0.0,111.0,0.0
sushi,94.0,2.92,18.39,0.67
tacos,710.0,6.69,15.1,9.17
waffles,300.0,2.86,48.6,10.0
chocolate_cake,439.0,3.03,57.6,22.7
